COD_RH;                 AUTOR;                 TITULO;                 NUM_PAG;                 FECHA;                 LUGAR;                  EDITORIAL;                 ISBN;
0000218405;Lilia Edith APARICIO PICO;Practicas de Laboratorios en Picosatelites;120;2012;Colombia;editorial academica española;938-3-659-05248-4;
0000218405;Lilia Edith APARICIO PICO;Telesalud Y Telelemedicina En Colombia;197;2005;Colombia;Gaia;95-89761-40-2;
0000218405;Lilia Edith APARICIO PICO;Sistema De Gestión De Salud Para El Distrito, Sistema Integral De Referencia Y Contrarreferencia;74;2005;Colombia;Gaia;9589761410;
0000292931;Julio Barón Velandia;Simulación Web de Protocolos de TCPIP;70;2008;Colombia;Centro De Investigaciones Y Desarrollo Cientifico Universidad Distrital Francisco Jose De Caldas;000000;
0001197452 ;Beitmantt Geovanni Cardenas Quintero;LA INGENIERA ONTOLGICA Y SUS APORTES A LA GERENCIA DE PROYECTOS;;2022;Colombia;Big Gaia Editorial;978-958-49-5344-5;
0000401498;Luz Esperanza Bohorquez Arevalo;Implementar Un Sistema De Gestion De Calidad Segun Iso 90012000  Guia Basica Para Las Empresas Comprometidas Con La Competitividad Y La Generacion De Valor;177;2006;Colombia;Icontec;9583372064;
0000401498;Luz Esperanza Bohorquez Arevalo;Implementar Un Sistema De Gestión Ambiental Segun Iso 14001 Guia Basica Para Empresas Comprometidas Con El Futuro;173;2006;Colombia;Icontec;9583383252;
0000401498;Luz Esperanza Bohorquez Arevalo;EQuality;100;2005;Colombia;Universidad catolica de colombia;958-33-7438-5;
0000401498;Luz Esperanza Bohorquez Arevalo;Implementar Un Sistema De Gestion De Calidad Segun Iso 90012000  Guia Basica Para Las Empresas Comprometidas Con La Competitividad Y La Generacion De Valor;177;2005;Colombia;Icontec;9583372064;
0000401498;Luz Esperanza Bohorquez Arevalo;Implementar Un Sistema De Gestión Ambiental Segun Iso 14001 Guia Basica Para Empresas Comprometidas Con El Futuro;173;2005;Colombia;Icontec;9583383252;
0000193674;Sandro Javier Bolaños Castro;MetaProceso de Desarrollo de Software El grial de las metodologías y procesos;;2016;Colombia;Fondo De Publicaciones De La Universidad Distrital;978-958-8897-97-4;
0000779296;Clara Inés Buriticá Arboleda;Modelo curricular de teleeducación Producción de Material Didáctico Computarizado MDC;1;2002;Colombia;Fondo de publicaciones Universidad Autónoma de Colombia;1794-3299-v7;
0000779296;Clara Inés Buriticá Arboleda;Modelo de gestión del prototipo de TeleEducación en la Producción de MDC;;2002;Colombia;Fondo de publicaciones Universidad Autónoma de Colombia;1794-3299 v8;
0000779296;Clara Inés Buriticá Arboleda;Modelo Pedagógico Didáctico de TeleEducación;;2002;Colombia;Fondo de publicaciones Universidad Autónoma de Colombia;1794-3299 v9;
0000779296;Clara Inés Buriticá Arboleda;Modelo Tecnológico de TeleEducación;;2002;Colombia;Fondo de publicaciones Universidad Autónoma de Colombia;1794-3299 v10;
0000779296;Clara Inés Buriticá Arboleda;La seguridad de abastecimiento eléctrico en mercados liberalizados;;2019;Colombia;Fondo De Publicaciones Universidad Distrital Francisco Jose De Caldas;978-958-787-076-3;
0000779296;Clara Inés Buriticá Arboleda;La seguridad de abastecimiento eléctrico en mercados liberalizados;;2019;Colombia;Fondo De Publicaciones Universidad Distrital Francisco Jose De Caldas;978-958-787-077-0;
0000779296;Clara Inés Buriticá Arboleda;Los recursos distribuidos de bioenergía en Colombia;;2020;Colombia;Seccion De Publicaciones Universidad Distrital Francisco Jose De Caldas;978-958-787-259-0;
0000908428;Nelson Leonardo Diaz Aldana;Gestión Y CIberseguridad para microrredes Eléctricas residenciales;;2020;Colombia;Universidad Distrital Francisco José de CaldasDoctorado en Ingeniería;978-958-787-228-6;
0000908428;Nelson Leonardo Diaz Aldana;CONTROLY GESTION PARA MICRORREDES ELCTRICAS BASADAS EN CONVERTIDORES DE POTENCIA Inicio;;2022;Colombia;Universidad Distrital Francisco José de CaldasDoctorado en Ingeniería;978-958-49-5276-9;
0000908428;Nelson Leonardo Diaz Aldana;Metodología De Diseño Para Convertidores Resonantes En Serie;128;2012;España;Editorial Académica Española;978-3-659-05596-6;
0000908428;Nelson Leonardo Diaz Aldana;Diseño E Implementación De Controladores Inteligentes Para Vsc;;2012;Colombia;Editorial Académica Española;978-3-8484-6990-1;
0000764680;Roberto Ferro Escobar;Cloud Computing;;2016;Colombia;Cámara Colombiana del Libro;978-958-8191-47-8;
0000764680;Roberto Ferro Escobar;INTRODUCCION A LA INVESTIGACIN SOBRE DESASTRES NATURALES Y CIUDADES INTELIGENTES;;2020;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-244-6;
0000764680;Roberto Ferro Escobar;INTRODUCCIN A GRANJAS INTELIGENTES Y GENERACIN DE ENERGA ELCTRICA PARA HACER FRENTE AL CAMBIO CLIMTICO EN LA REGIN ANDINA;;2021;Colombia;Fondo De Publicaciones Universidad Distrital Francisco Jose De Caldas;978-958-49-4954-7;
0000764680;Roberto Ferro Escobar;Investigación y desarrollo de servicios Streaming Multicast basado en IPv6;;2015;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-8897-62-2;
0000217344;Elvis Eduardo Gaona Garcia;Reproductive Restraints Birth Control In India, 18771947;88;2013;España;Editorial Académica Española;978-3-659-07733-3;
0000217344;Elvis Eduardo Gaona Garcia;Diseño y construcción del módulo de control central del CubeSat UD e implementación de AX25;;2015;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-8897-55-4 ;
0000217344;Elvis Eduardo Gaona Garcia;Observational Calculi And Association Rules;172;2013;España;Editorial Académica Española;978-3-659-07727-2;
0000217344;Elvis Eduardo Gaona Garcia;GESTIN Y CIBERSEGURIDAD PARA MICRORREDES ELCTRICAS RESIDENCIALES;;2020;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-228-6;
0000217344;Elvis Eduardo Gaona Garcia;3c Vision Cues, Contexts, And Channels;176;2013;España;Editorial Académica Española;978-3-659-07592-6;
0000217344;Elvis Eduardo Gaona Garcia;Control de Microrredes Eléctricas Inteligentes;;2017;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;9789585434318;
0000217344;Elvis Eduardo Gaona Garcia;Medidor De Interferencias Para Las Bandas Vhf Y Uhf;153;2012;España;Editorial Académica Española;978-3-659-05235-4;
0000292974;Paulo Alonso Gaona García;Mecanismos de exploración de recursos sobre Linked Open Data mediante principios de seguridad;;2017;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-5434-39-4;
0000292974;Paulo Alonso Gaona García;Entornos De Búsquedas Navegacionales A Partir De Esquemas De Representación De Conocimiento;;2018;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;9789587870046;
0000292974;Paulo Alonso Gaona García;Aplicación inmersiva para el consumo de recursos digitales basada en navegación por ontologías como estrategia de interacción;;2020;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-249-1;
0000292974;Paulo Alonso Gaona García;Modelo de comunicación basado en IoT para la transmisión de datos de estaciones meteorológicas;;2020;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-256-9;
0000292974;Paulo Alonso Gaona García;Enriquecimiento de recursos educativos un enfoque aplicado a la web semántica y datos abiertos;;2022;;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-4952783;
0000251909;Cesar Augusto GARCÍA UBAQUE;Tecnologías para el tratamiento del agua Primer Seminario Nacional de Control de la Contaminación Ambiental;;2016;Colombia;Editorial UD Universidad Distrital Francisco José de Caldas;978-958-8972-76-3;
0000251909;Cesar Augusto GARCÍA UBAQUE;Construccion e inspeccion tecnica para vivienda VIP y VIS, en sistema de mamposteria confinada y estructural;;2016;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-8897-96-7;
0000251909;Cesar Augusto GARCÍA UBAQUE;Materiales Alternativos para la Construcción de Edificaciones;1;2008;Colombia;;;
0000251909;Cesar Augusto GARCÍA UBAQUE;Empoderamiento comunitario en la construcción de viviendas saludables;;2017;Colombia;Publicaciones Universidad Distrital;978-958-5434-21-9;
0000251909;Cesar Augusto GARCÍA UBAQUE;Habitabilidad de la vivienda una perspectiva de la salud;;2017;Colombia;Editorial Universidad Nacional De Colombia;978-958-775-983-9;
0000251909;Cesar Augusto GARCÍA UBAQUE;Análisis sobre el marco legal de la VIS en Colombia;1;2008;Colombia;;;
0000251909;Cesar Augusto GARCÍA UBAQUE;La producción de vivienda de interés social en Bogotá Análisis de dos de sus modelos;;2014;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-8832-83-8;
0000251909;Cesar Augusto GARCÍA UBAQUE;Ingeniería Ambiental Análisis Aplicado a la Calidad del Agua;;2019;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-073-2;
0000251909;Cesar Augusto GARCÍA UBAQUE;Ingeniería Ambiental Análisis Aplicado a la Tratabilidad del Agua;;2019;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-071-8;
0000251909;Cesar Augusto GARCÍA UBAQUE;PROPUESTA DE DIAGNSTICO DE HABITABILIDAD EN ASENTAMIENTOS HUMANOS A NIVEL URBANO;;2020;Colombia;Universidad catolica de colombia; 978-958-5133-36-5;
0000251909;Cesar Augusto GARCÍA UBAQUE;Manual de Operación Eficiente de Procesos de Combustión en Calderas;43;2001;Colombia;Fondos de Desarrollo Local de Bogotá;9387-40-3;
0000251909;Cesar Augusto GARCÍA UBAQUE;Manual de Normatividad Legal Vigente Aplicable a Emisiones Atmosféricas por Procesos de Combustión;35;2001;Colombia;Fondos de Desarrollo Local de Bogotá;9387-41-1;
0000251909;Cesar Augusto GARCÍA UBAQUE;Patología constructiva en vivienda popular;;2015;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-8897-74-5;
0000251909;Cesar Augusto GARCÍA UBAQUE;Sistema constructivo de la vivienda popular en sectores vulnerables de Bogotá;;2014;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-8832-85-2;
0000251909;Cesar Augusto GARCÍA UBAQUE;Estudio de la problemática del suelo para el desarrollo de proyectos de vivienda de interés social y de vivienda de interés prioritaria en Colombia Caso bogotá;;2014;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-8832-84-5;
0000472069;Ernesto GOMEZ VARGAS;Sistema de Gestión de Salud para el Distrito , Manual de Arquitecturas,;1;2002;Colombia;Gaia;95897614;
0000472069;Ernesto GOMEZ VARGAS;DETECCIN Y CORRECCIN DE PROPAGACIONES ANMALAS EN RADARES METEOROLGICOS;;2020;Colombia;Amadgraf Impresores Ltda;978-958-787-239-2;
0000472069;Ernesto GOMEZ VARGAS;Sistema De Gestión De Salud Para El Distrito, Sistema Integral De Referencia Y Contrarreferencia;1;2002;Colombia;Gaia;9589761410;
0000472069;Ernesto GOMEZ VARGAS;Sistema de Simulación del Flujo de partículas ionizadas penetrantes para el picosatélite Cubesat UD;;2017;Colombia;Hographics Impresores;978-958-8972-85-5;
0000223301;Javier Guacaneme Moreno;Diseño De Coversores Electrónicos Para Redes De Distribución A Partir De Fuentes No Convencionales;171;2012;Colombia;Publicaciones Universidad Distrital Francisco Jose De Caldas;9789588723594;
0000322318;Johann Alexander HERNANDEZ MORA;Microrredes Eléctricas;;2015;Colombia;Publicaciones Universidad Distrital Francisco Jose De Caldas;978-958-8897-79-0;
0000322318;Johann Alexander HERNANDEZ MORA;Central Solar Termoeléctrica Cet De Colectores CilindroParabólicos;134;2012;España;Editorial Académica Española;978-3-8484-5398-6;
0000322318;Johann Alexander HERNANDEZ MORA;Variabilidad De La Radiación Solar En El Diseño De Sistemas Fotovoltaicos;97;2012;España;Editorial Académica Española;978-3-8484-5245-3;
0000322318;Johann Alexander HERNANDEZ MORA;Diseño E Implementación De Controladores Inteligentes Para Vsc;148;2012;España;LAP LAMBERT Academic Publishing GmbH  Co;978-3-8484-6990-1;
0000331430;Cesar Augusto Hernández Suárez;Matematicas Especiales para Ingenieria Electronica y de Telecomunicaciones;200;2009;Colombia;;xxxxxx;
0000331430;Cesar Augusto Hernández Suárez;Analisis de Señales y Sistemas Analogicos y Discretos;300;2009;Colombia;;xxxxxx;
0000331430;Cesar Augusto Hernández Suárez;Problemas Resueltos de Microcontroladores Microchip;220;2010;Colombia;;xxxxxx;
0000331430;Cesar Augusto Hernández Suárez;Modelamiento de Tráfico en Series de Tiempo para Redes de Datos;197;2012;Alemania;Editorial Academica Española;978-3-659-02100-8;
0000331430;Cesar Augusto Hernández Suárez;Modelo Multivariable de Tráfico para una Red de Datos WiFi;84;2012;Alemania;Editorial Academica Española;978-3-659-03822-8;
0000331430;Cesar Augusto Hernández Suárez;Discapacidad auditiva tecnología para la inclusión social;;2014;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-8897-02-8;
0000331430;Cesar Augusto Hernández Suárez;Modelo adaptativo multivariable de handoff espectral para incrementar el desempeño en redes móviles de radio cognitiva;;2017;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-5434-01-1;
0000331430;Cesar Augusto Hernández Suárez;Modelo de asignación multicanal con equidad para la movilidad espectral en redes de radio cognitiva;;2017;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-5434-26-6;
0000331430;Cesar Augusto Hernández Suárez;Microcontrolador GP32;1;2008;Colombia;;;
0000331430;Cesar Augusto Hernández Suárez;La Tecnologia Aplicada al servicio de la Humanidad;1;2008;Colombia;;;
0000331430;Cesar Augusto Hernández Suárez;Desarrollo, políticas y futuro de las microrredes inteligentes;;2018;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-5434-94-3;
0000331430;Cesar Augusto Hernández Suárez;Modelo de predicción de la ocupación espectral para el análisis y diseño de redes de radio cognitiva;;2018;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-049-7;
0000331430;Cesar Augusto Hernández Suárez;A Multifractal Model for Cognitive Radio Networks;;2019;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-137-1;
0000331430;Cesar Augusto Hernández Suárez;Modelo de decisión espectral para redes de radio cognitiva;;2019;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-152-4;
0000331430;Cesar Augusto Hernández Suárez;Modelo de decisión espectral colaborativo para redes de radio cognitiva;;2020;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-245-3;
0000331430;Cesar Augusto Hernández Suárez;Ocupación espectral y modelo de radio cognitiva para la ciudad de Bogotá;;2016;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-8897-88-2;
0000331430;Cesar Augusto Hernández Suárez;Calidad del servicio en la energía eléctrica residencial;134;2013;Colombia;Seccion De Publicaciones Universidad Distrital Francisco Jose Caldas;978-958-8782-37-9;
0001164023;Jhon Francined Herrera Cubides;Aplicación Inmersiva para el Consumo de Recursos Digitales basada en Navegación por Ontologías como Estrategia de interacción;;2020;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-249-1;
0001164023;Jhon Francined Herrera Cubides;Enriquecimiento de Recursos Educativos Un enfoque aplicado a la Web Semántica y Datos Abiertos;;2022;Colombia;Fondo De Publicaciones Universidad Dsitrital Francisco Jose De Caldas;978-958-49-5278-3;
0000783960;Luini Leonardo Hurtado Cortés;Introducción al Control Robusto y Diseño con Matlab;;2017;;Editorial Académica Española;978-3-8417-6746-2;
0000282901;Adolfo Andrés Jaramillo Matta;Estimación De Parámetros Para La Máquina De Inducción Trifásica;180;2011;Reino Unido;Editorial Académica Española;978-3-8443-3664-1;
0000282901;Adolfo Andrés Jaramillo Matta;Huecos De Tensión Y Sus Efectos En La Máquina De Inducción Trifásica;180;2011;Reino Unido;Editorial Académica Española;978-3-8443-4318-2;
0000594822;José Andelfo Lizcano Caro;Facultad De Medio Ambiente Y Recursos Naturales 19942014;;2014;Colombia;Publicaciones Universidad Distrital Francisco Jose De Caldas;978-958-8897-09-7;
0000594822;José Andelfo Lizcano Caro;Facultad del Medio Ambiente y Recursos Naturales 19942014 Veinte Años de Contribución Académica al Desarrollo Sostenible;;2014;Colombia;Publicaciones Universidad Distrital Francisco Jose de Caldas;978-958-8897-09-7;
0000594822;José Andelfo Lizcano Caro;Investigación al Régimen Tarifario de Agua Potable y Saneamiento Básico;251;2011;Colombia;Universidad Distrital;978-958-8337-92-0;
0000166618;César Amílcar López Bello;Técnicas De Simulación En Producción;145;;Colombia;Presencia;958-95345-9-7;
0000166618;César Amílcar López Bello;Modelos Integrales De Producción En Empresas Manufactureras;196;2006;Colombia;Kimpres;9589784011;
0000166618;César Amílcar López Bello;Planeación Agregada De La Producción;113;2008;Colombia;Universidad catolica de colombia;978-958-44-4592-6;
0001213490;Eduyn Ramiro Lopez Santana;Applied Computer Sciences in Engineering;;2016;Alemania;Springer Publishing Co;978-3-319-50880-1;
0001213490;Eduyn Ramiro Lopez Santana;Problema social de la corrupción perspectivas desde la dinámica de sistemas;;2016;Colombia;Fondo Editorial Universidad Distrital Francisco Jose De Caldas;9789588897981;
0001213490;Eduyn Ramiro Lopez Santana;Applied Computer Sciences in Engineering, Third Workshop on Engineering Applications, WEA 2016;;2016;Alemania;Springer Publishing Company, Inc;978-3-319-50879-5;
0001213490;Eduyn Ramiro Lopez Santana;Applied Computer Sciences in Engineering 4th Workshop on Engineering Applications, WEA 2017;;2017;Alemania;Springer Publishing Company, Inc;978-3-319-66962-5;
0001213490;Eduyn Ramiro Lopez Santana;El problema del desempleo y la informalidad en Colombia;;2017;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-5434-65-3;
0001213490;Eduyn Ramiro Lopez Santana;Applied Computer Sciences in Engineering, WEA 2018, Part I;;2018;Alemania;Springer Publishing Company, Inc;978-3-030-00349-4;
0000430129;Danilo Alfonso López Sarmiento;Modelamiento De Tráfico En Series De Tiempo Para Redes De Datos 3 Autores;169;2012;Colombia;Editorial Académica Española;978-3-659-02100-8;
0000430129;Danilo Alfonso López Sarmiento;Uitlización De Herramientas Gratuitas Que Permitan Evaluar La Calidad Del Servicio En Redes Mpls 3 Autores;146;2011;Colombia;Bubok;978-84-686-1292-8;
0000430129;Danilo Alfonso López Sarmiento;Android BásicoManual Práctico 3 Autores;103;2012;Colombia;Bubok;978-84-686-1295-9;
0000430129;Danilo Alfonso López Sarmiento;Eficiencia De La Qos Ip Con Opnet 3 Autores;90;2012;Colombia;Bubok;978-84-686-1247-8;
0000430129;Danilo Alfonso López Sarmiento;Modelo de decisión espectral colaborativo para redes de radio cognitiva;;2020;;Editorial UD Editorial Universidad Distrital Francisco José de Caldas; 978-958-787-245-3;
0000430129;Danilo Alfonso López Sarmiento;Sistema De Semaforización Inteligente;77;2012;Colombia;Académica española;978-3-8484-7788-3;
0000393762;Fredy Hernán Martínez Sarmiento;Algunas Aplicaciones De La Lógica Difusa En El Control De Convertidores DcDc;100;2011;Colombia;Fondo De Publicaciones Universidad Distrital Francisco Jose De Caldas;978-958-8723-08-2;
0000393762;Fredy Hernán Martínez Sarmiento;Robótica Autónoma Acercamientos A Algunos Problemas Centrales;;2015;Colombia;Publicaciones Universidad Distrital Francisco Jose De Caldas;9789588897561;
0000393762;Fredy Hernán Martínez Sarmiento;LOS RECURSOS DISTRIBUIDOS DE BIOENERGA EN COLOMBIA;;2020;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-258-3;
0000269387;Ruben Javier MEDINA DAZA;Redes neuronales convolucionales usando keras y acelerando con GPU;;2020;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-232-3;
0000269387;Ruben Javier MEDINA DAZA;FUSION DE IMAGENES SATELITALES USANDO LA TRANSFORMADA DE WAVELET;;2004;Colombia;Fondo De Publicaciones Universidad Distrital Francisco Jose De Caldas;9789588175973;
0000269387;Ruben Javier MEDINA DAZA;Fusion De Imagenes Satelitales Usando La Transformada De Wavelet;172;2004;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;958-8175-97-6;
0000269387;Ruben Javier MEDINA DAZA;ANLISIS DE IMGENES USANDO LAS TRANSFORMADAS DE FOURIER Y WAVELET;;2019;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;9789587870640;
0000243302;Victor Hugo MEDINA GARCÍA;Modelo de Madurez para la Capacidad de la Enseñanza en Ingeniería;;2016;Colombia;Fondo De Publicaciones De La Universidad Distrital;978-958-8723-23-5;
0000243302;Victor Hugo MEDINA GARCÍA;Investigación en Ingeniería apoyada por la gestión del conocimiento y la internet social;;2019;Colombia;Fondo De Publicaciones Universidad Distrital Francisco Jose De Caldas;978-958-787-082-4;
0000243302;Victor Hugo MEDINA GARCÍA;Modelo de gestión del conocimiento como apoyo a la gestión de proyectos;;2019;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-097-8;
0000243302;Victor Hugo MEDINA GARCÍA;Investigación en Ingeniería fundamentada en la gestión del conocimiento;;2020;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-241-5;
0000007072;miguel melgarejo melgarejo;Desarrollo De Un Sistema De Inferencia Difusa Sobre Fpga  Reporte De Investigación;78;2003;Colombia;Universidad Distrital;9588175704;
0000202339;German MÉNDEZ GIRALDO;Sistemas Cooperativos Asistidos Para La Programación De La Producción En La Industria Manufacturera Colombiana Universidad Distrital Centro De Investigaciones Y Desarrollo Científico;151;2001;Colombia;Universidad Distrital;958-9160-86-7;
0000202339;German MÉNDEZ GIRALDO;Programación De Tareas Scheduling;292;2011;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-8337-84-5;
0000202339;German MÉNDEZ GIRALDO;Aplicación De La Dinámica Del Sistema Para Caracterizar Y Recomendar Soluciones A Problemas Sociales En Colombia;200;2012;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-8723-71-6;
0000202339;German MÉNDEZ GIRALDO;Problema social de la corrupción Perspectiva desde la dinámica de sistemas;;2016;Colombia;Fondo Editorial Universidad Distrital Francisco Jose De Caldas;9789588897981;
0000202339;German MÉNDEZ GIRALDO;Introducción a la simulación discreta;;2015;Colombia;Fondo De Publicaciones De La Universidad Distrital;978-958-8832-97-5;
0000202339;German MÉNDEZ GIRALDO;El problema del desempleo y la informalidad en Colombia;;2017;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-5434-65-3;
0000202339;German MÉNDEZ GIRALDO;El problema de la calidad de vida en el sector floricultor de Colombia;;2014;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-8832-05-0;
0000202339;German MÉNDEZ GIRALDO;Dinámica y pensamiento sistémico;;2016;Colombia;Publicaciones Universidad Distrital Francisco Jose De Caldas; 978-958-8972-01-5;
0000202339;German MÉNDEZ GIRALDO;Modelo de madurez para la capacidad de la enseñanza en ingeniería;;2017;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-8972-87-9;
0000202339;German MÉNDEZ GIRALDO;Gerencia De Manufactura Funcion De Planeacion;208;2003;Colombia;Fondo De Publicaciones Universidad Distrital;9588175585;
0000202339;German MÉNDEZ GIRALDO;MODELO PEDAGOGICO DIDACTICO DE TELEEDUCACION;1;2002;Colombia;;;
0000202339;German MÉNDEZ GIRALDO;MODELO CURRICULAR DE TELEEDUCACION Producción de Material Didáctico Computarizado;1;2002;Colombia;;;
0000202339;German MÉNDEZ GIRALDO;MODELO DE GESTION DEL PROTOTIPO DE TELEEDUCACION EN LA PRODUCCION DE MDC;1;2002;Colombia;;;
0000202339;German MÉNDEZ GIRALDO;Diseño De Prototipo De Diagnostico Para Pymes;396;2004;Colombia;Centro De Investigaciones Y Desarrollo Cientifico;9588175984;
0000202339;German MÉNDEZ GIRALDO;Sistemas Cooperativos Asistidos Para La Programación De La Producción En La Industria Manufacturera Colombiana Universidad Distrital Centro De Investigaciones Y Desarrollo Científico;151;2001;Colombia;Universidad Distrital;958-9160-86-7;
0000202339;German MÉNDEZ GIRALDO;MODELO TECNOLOGICO DE TELEEDUCACIN;1;2002;Colombia;Universidad Autónoma de Colombia;;
0000292915;Carlos Enrique MONTENEGRO MARIN;Entornos de búsquedas navegacionales a partir de esquemas de representación de conocimiento;;2018;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;9789587870046;
0000292915;Carlos Enrique MONTENEGRO MARIN;Mecanismos de exploración de recursos sobre linked open data mediante principios de seguridad;;2017;Colombia;Fondo Editorial Universidad Distrital Francisco Jose De Caldas;9789585434394;
0000292915;Carlos Enrique MONTENEGRO MARIN;Ingenieria Dirigida por modelos y casos prácticos;;2017;Colombia;Fondo Editorial Universidad Distrital Francisco Jose De Caldas;9789588972893;
