COD_RH;                 AUTOR;                 NOMBRE_SOFT;                 NOMBRE_COMERCIAL;                FECHA;                LUGAR;                PLATAFORMA;                 AMBIENTE;                 REGISTRO 
0000535567;John Petearson Anzola Anzola;SCRIPT DE DETECCIÓN DE TUMORES EN MASTOGRAFA;SCRIPT DE DETECCIÓN DE TUMORES EN MASTOGRAFA;2013;Colombia;Mixta entre FPGA y un PC x64;Windows;1340168;
0000535567;John Petearson Anzola Anzola;SCRIPT PARA DETECCION DE PLACAS VEHICULARES;SCRIPT PARA DETECCION DE PLACAS VEHICULARES;2013;Colombia;windows;NA;1340167;
0000535567;John Petearson Anzola Anzola;SOFTWARE PARA DISEO DE TARJETAS RECEPTORAS Y TRANSMISORAS UNIVERSALES ASINCRONAS;OFTWARE PARA DISEO DE TARJETAS RECEPTORAS Y TRANSMISORAS UNIVERSALES ASINCRONAS;2011;Colombia;VHDL;Windows;1030403;
0000675024;LEONARDO EMIRO CONTRERAS BRAVO;Modulo de Consejerias Estudiantiles  Universidad Distrital;Consejerias UD;2011;Colombia;Internet;;1331140;
0000675024;LEONARDO EMIRO CONTRERAS BRAVO;OFFICAD V10;OFFICAD V10;2012;Colombia;VISUAL BASIC;;1332132;
0000217344;Elvis Eduardo Gaona Garcia;Software de simulación para la caracterización de antenas con geometría fractal;Software de simulacion para la caracterizacion de antenas con geometría Fractal;2001;Colombia;Matlab;Windows;1319110;
0000217344;Elvis Eduardo Gaona Garcia;Servicio de interoperabilidad y búsquedas de objetos de aprendizaje de confianza sobre plataformas LCMS;SERVICIO DE INTEROPERABILIDAD Y BSQUEDAS DE OBJETOS DE APRENDIZAJE DE CONFIANZA SOBRE PLATAFORMAS LCMS;2012;Colombia;C;Windows;1335198;
0000217344;Elvis Eduardo Gaona Garcia;AESESTEGANO;AESESTEGANO  HERRAMIENTA CRIPTOGRFICA Y ESTEGANOGRAFA;2020;Colombia;El sistema requiere para su funcionamiento en la aplicación ejecutable un computador o dos computadores con conexión local, sistema operativo Windows 10 o Linux, memoria RAM de al menos 4GB, 44MB de espacio de almacenamiento en el disco duro;;;
0000217344;Elvis Eduardo Gaona Garcia;LORAGTCP;;2020;Colombia;LoRaGTCP funciona en todos los sistemas operativos, se recomienda e;;;
0000217344;Elvis Eduardo Gaona Garcia;Herramienta para el desarrollo rápido de videojuegos;Herramienta para el desarrollo rápido de videojuegos;2012;Colombia;Multiplataforma;Windows;1334498;
0000217344;Elvis Eduardo Gaona Garcia;DBVT2 6 MHz;;2017;Colombia;Windows;;;
0000217344;Elvis Eduardo Gaona Garcia;SACEGCEM;;2018;Colombia;Funciona en todos los sistemas operativos, se recomienda e;;;
0000217344;Elvis Eduardo Gaona Garcia;DATA MANAGEMENT SENSOR NODE;DATA MANAGEMENT SENSOR NODE;2016;Colombia;Java;Windows;;
0000217344;Elvis Eduardo Gaona Garcia;STOCHASTIC MICROGRID MANAGEMENT SYSTEM;STOCHASTIC MICROGRID MANAGEMENT SYSTEM;2015;Colombia;Matlab;Windows;2748515;
0000217344;Elvis Eduardo Gaona Garcia;Sensor ptico de tensión y corriente eléctrica;SENSOR ÓPTICO DE TENSIÓN Y CORRIENTE ELCTRICA;2015;Colombia;Matlab;Windows;20152;
0000217344;Elvis Eduardo Gaona Garcia;Analizador de Protocolos AX25 para Picosatélites;ANALIZADOR DE PROTOCOLOS AX25 PARA PICOSATELITES;2012;Colombia;C;WINDOWS;1334268;
0000217344;Elvis Eduardo Gaona Garcia;Dispositivos de Conmutación Óptica de Nueva Generación;Dispositivos de Conmutación Óptica de Nueva Generación;2012;Colombia;Matlab;Windows;1332205;
0000217344;Elvis Eduardo Gaona Garcia;Antenas Microstrip;Antenas Microstrip;2011;Colombia;Matlab;Windows;1328450;
0000217344;Elvis Eduardo Gaona Garcia;FDTD MiPaZer;FDTD MiPaZer;2011;Colombia;Matlab;Windows;1328451;
0000217344;Elvis Eduardo Gaona Garcia;Análisis de Líneas Bifilar y Coaxial;Análisis de Líneas Bifilar y Coaxial;2012;Colombia;Matlab;Windows;1334275;
0000217344;Elvis Eduardo Gaona Garcia;Corrección del Efecto Doopler en Estaciones Terrenas;Corrección del Efecto Doopler en Estaciones Terrenas;2012;Colombia;LabView;Windows;;
0000217344;Elvis Eduardo Gaona Garcia;Sistema de seguimiento y acceso remoto para Picosatélites;Sistema de seguimiento y acceso remoto para Picosatélites;2012;Colombia;LabView;Windows;CP;
0000217344;Elvis Eduardo Gaona Garcia;Análisis de Antenas Microcintas empleando el Método de Diferencias Finitas en el Dominio del Tiempo;Análisis de Antenas Microcintas empleando el Método de Diferencias Finitas en el Dominio del Tiempo;2012;Colombia;Matlab;Windows;1334302;
0000217344;Elvis Eduardo Gaona Garcia;TNCUD;TNCUD;2015;Colombia;c;Windows;1346455;
0000217344;Elvis Eduardo Gaona Garcia;Estación Terrena UD;Estación Terrena UD;2009;Colombia;Labview;Windows;141122009;
0000630080;Ricardo Alirio Gonzalez Bustamante;EXTRACTION OF HOG FEATURES FOR VEHICLE IDENTIFICATION IN IMAGES USING A VECTORSUPPORTMACHINE;;2022;;Matlab;Matlab;;
0000630080;Ricardo Alirio Gonzalez Bustamante;MOTORCYCLE IDENTIFICATION AND CLASSIFICATION SYSTEM WITH CONVOLUTIONALNEURALNETWORK;;2022;;Matlab;Matlab;;
0001164023;Jhon Francined Herrera Cubides;Liquidacion Parafiscales UNIMETA;Software para Liquidación de Parafiscales  Unimeta;2002;Colombia;Win 95;Fox Pro;NA;
0001429722;Andres Camilo Jimenez Alvarez;PyRep;Dominio de Lenguaje Especifico para Simulación de Agentes Robóticos Diferenciales VRep;2018;Colombia;PythonVRep;LinuxWindowsMac;;
0001429722;Andres Camilo Jimenez Alvarez;CONTROLADOR REMOTO PARA LA PLATAFORMA ROBÓTICA VITOUR;CONTROLADOR REMOTO PARA LA PLATAFORMA ROBÓTICA VITOUR;2016;Colombia;ROS;Linux  Ubuntu 1404 LTS;;
0001429722;Andres Camilo Jimenez Alvarez;SCRIPT DE COMUNICACIÓN ENTRE UN AGENTE ROBÓTICO Y EL COMPUTADOR PARA SLAM;SCRIPT DE COMUNICACIÓN ENTRE UN AGENTE ROBÓTICO Y EL COMPUTADOR PARA SLAM;2016;Colombia;LinuxWindowsIOS;Python;;
0001429722;Andres Camilo Jimenez Alvarez;SCRIPT DE DETECCIÓN DE TUMORES EN MASTOGRAFA;SCRIPT DE DETECCIÓN DE TUMORES EN MASTOGRAFA;2013;Colombia;Matlab;WindowsLinux;1340168;
0001429722;Andres Camilo Jimenez Alvarez;IMPLEMENTACIÓN EN VHDL DE UN MULTIPLICADOR UNIVERSAL DE CAMPO FINITO GF2N;IMPLEMENTACIÓN EN VHDL DE UN MULTIPLICADOR UNIVERSAL DE CAMPO FINITO GF2N;2014;Colombia;VHDL;Multiplataforma;1342400;
0001429722;Andres Camilo Jimenez Alvarez;IMPLEMENTACIÓN DE AUTÓMATA CELULAR RECONFIGURABLE SOBRE FPGA;IMPLEMENTACIÓN DE AUTÓMATA CELULAR RECONFIGURABLE SOBRE FPGA;2012;Colombia;VHDL;Multiplataforma;1335327;
0001429722;Andres Camilo Jimenez Alvarez;SCRIPT PARA DETECCION DE PLACAS VEHICULARES;SCRIPT PARA DETECCION DE PLACAS VEHICULARES;2013;Colombia;MatlabOctave;WindowsLinux;1340167;
0001429722;Andres Camilo Jimenez Alvarez;DISEO DE UNA MQUINA GENTICA PARA EVOLUCIONAR LOS AUTÓMATAS SOBRE UNA PLATAFORMA BASADA EN PC;DISEO DE UNA MQUINA GENTICA PARA EVOLUCIONAR LOS AUTÓMATAS SOBRE UNA PLATAFORMA BASADA EN PC;2012;Colombia;Gnu Octave;Multiplataforma;1335328;
0001429722;Andres Camilo Jimenez Alvarez;Software para el diseño de tarjetas receptoras y transmisoras asincronas;na;2011;Colombia;Verilog;WindowsLinux;1030403;
0001429722;Andres Camilo Jimenez Alvarez;DISENO EN LENGUAJES DE DESCRIPCION DE HARDWARE PARA LA INTERCONEXION AUTOMATICA DE UNA CELL MATRIX DE NXN DIMENSIONES;DISENO EN LENGUAJES DE DESCRIPCION DE HARDWARE PARA LA INTERCONEXION AUTOMATICA DE UNA CELL MATRIX;2013;Colombia;Windows  Linux;Verilog;133617;
0001429722;Andres Camilo Jimenez Alvarez;CONTROLADOR Y PROGRAMADOR DE UNA CELL MATRIX 3X3;CONTROLADOR Y PROGRAMADOR DE UNA CELL MATRIX 3X3;2013;Colombia;Windows  Linux;Verilog;133618;
0001429722;Andres Camilo Jimenez Alvarez;Programador de una Cell Matrix de 3x3 con un nuevo modelo de célula;Programador de una Cell Matrix de 3x3;2012;Colombia;Windows;Grafico;1335321;
0001429722;Andres Camilo Jimenez Alvarez;DETECCIÓN DE BORDES USANDO UNA CELL MATRIX;DETECCIÓN DE BORDES USANDO UNA CELL MATRIX;2014;Colombia;Matlab, cualquier compilador de c;cualquier compilador de c sea Windows;1340310;
0001429722;Andres Camilo Jimenez Alvarez;SOFTWARE PARA COMUNICARSE CON UN DISPOSITIVO MOVIL;SOFTWARE PARA COMUNICARSE CON UN DISPOSITIVO MOVIL;2011;Colombia;visual studio 2010 express edition;Windows;1030396;
0001344169;Robinson Jimenez Moreno;MEDIDOR DE DISTANCIAS 3D;;2013;Colombia;Windows, ambiente C,;C;1236282;
0001344169;Robinson Jimenez Moreno;CONTROL IMITATIVO;CONTROL IMITATIVO;2013;Colombia;Windows;C;1336285;
0001344169;Robinson Jimenez Moreno;CONTROL MULTIARTICULACION;CONTROL MULTIARTICULACION;2013;Colombia;Windows;C;1336284;
0001344169;Robinson Jimenez Moreno;Inspección de calidad para un sistema de producción industrial basado en el procesmiento de imagenes;Inspección de calidad para un sistema de producción industrial basado en el procesmiento de imagenes;2013;Colombia;Windows;MATLAB;1336385;
0001344169;Robinson Jimenez Moreno;SISTEMA DE MEDICION DE PARAMETROS CORPORALES;SISTEMA DE MEDICION DE PARAMETROS CORPORALES;2013;Colombia;Windows;C;1236280;
0001344169;Robinson Jimenez Moreno;ENHANCED DEPTH VIEWER;ENHANCED DEPTH VIEWER;2013;Colombia;Windows;C;1236283;
0000594822;José Andelfo Lizcano Caro;MULTIMEDIA PREVENCIÓN DE INCENDIOS FORESTALES;MULTIMEDIA PARA CONTENIDOS DE INCENDIOS FORESTALES Y RESTAURACIÓN DE REAS AFECTADAS;2010;Colombia;MOODLE;EL REPORTE DE LA MULTIMEDIA NO COBIJA LOS CONTENIDOS DE LOS MDULOS QUE SON DE AUTORA DE OTROS PROFESIONALES MI COAUTORIA SLO COBIJA EL DESARROLLO DE LA MULTIMEDIA;20105274;
0000594822;José Andelfo Lizcano Caro;Multimedia Interactiva;Multimedia Interactiva;2010;Colombia;Adobedirector;Windows y otros;FamarenaUniversidad Distrital;
0001213490;Eduyn Ramiro Lopez Santana;SchES;SchES;2018;Colombia;;;3328053316;
0000201014;Alexandra Maria López Sevillano;CARTILLA INTERACTIVAMANEJO DEL DOLOR;Cartilla InteractivaManejo del Dolor;2016;Colombia;La cartilla interactiva se puede desplegar en cualquier servidor web o en plataformas LMS Learning Management System como Moodle y Edmodo;Ambiente virtual;201701;
0000201014;Alexandra Maria López Sevillano;ANEXO TCNICO ATENCIÓN INICIAL DE URGENCIAS;;2014;Colombia;Este sistema se desarrolló utilizando la herramienta de Visual StudioNET 2013 con motor de base de dato SQL Server 2012;En estos momentos se encuentro publicado en ambiente de producción en el siguiente url httpappsaludcapitalgovcosirc2;;
0000201014;Alexandra Maria López Sevillano;TABLEROS DE CONTROL DEL MÓDULO PORCENTAJE DE OCUPACIÓN URGENCIAS;;2017;Colombia;Este sistema se desarrolló utilizando la herramienta de Visual StudioNET 2013 con motor de base de dato SQL Server 2012;En estos momentos se encuentro publicado en ambiente de producción en el siguiente url httpappsaludcapitalgovcosirc2;;
0000201014;Alexandra Maria López Sevillano;ANEXO TCNICO INCONSISTENCIA DE BASES DE DATOS;;2014;Colombia;Este sistema se desarrolló utilizando la herramienta de Visual StudioNET 2013 con motor de base de dato SQL Server 2012;En estos momentos se encuentro publicado en ambiente de producción en el siguiente url httpappsaludcapitalgovcosirc2;;
0000201014;Alexandra Maria López Sevillano;MÓDULO DE TRABAJADORES DE LA SALUD;;2014;Colombia;Este sistema se desarrolló utilizando la herramienta de Visual StudioNET 2013 con motor de base de dato SQL Server 2012;En estos momentos se encuentro publicado en ambiente de producción en el siguiente url httpappsaludcapitalgovcosirc2;;
0000201014;Alexandra Maria López Sevillano;REGISTRO DE USUARIOS REMITIDOS RUR;;2011;Colombia;Este sistema se desarrolló utilizando la herramienta de Visual StudioNET 2013 con motor de base de dato SQL Server 2012;En estos momentos se encuentro publicado en ambiente de producción en el siguiente url httpappsaludcapitalgovcosirc2;;
0000201014;Alexandra Maria López Sevillano;ESIIRAG  NOTIFICACIÓN COLECTIVA  CENTINELA;;2014;Colombia;Este sistema se desarrolló utilizando la herramienta de Visual StudioNET 2013 con motor de base de dato SQL Server 2012;En estos momentos se encuentro publicado en ambiente de producción en el siguiente url httpappsaludcapitalgovcosirc2;;
0000201014;Alexandra Maria López Sevillano;ANEXO TCNICO CUATRO SOLICITUD DE AUTORIZACIÓN O NEGACIÓN DEL SERVICIO;;2014;Colombia;Este sistema se desarrolló utilizando la herramienta de Visual StudioNET 2013 con motor de base de dato SQL Server 2012;En estos momentos se encuentro publicado en ambiente de producción en el siguiente url httpappsaludcapitalgovcosirc2;;
0000201014;Alexandra Maria López Sevillano;SOFTWARE DE MAMOGRAFA;;2013;Colombia;Este sistema se desarrolló utilizando la herramienta de Visual StudioNET 2013 con motor de base de dato SQL Server 2012;En estos momentos se encuentro publicado en ambiente de producción en el siguiente url httpappsaludcapitalgovcosirc2;;
0000201014;Alexandra Maria López Sevillano;ANEXO TCNICO SOLICITUD DE AUTORIZACIÓN DE SERVICIOS DE SALUD;;2014;Colombia;Este sistema se desarrolló utilizando la herramienta de Visual StudioNET 2013 con motor de base de dato SQL Server 2012;En estos momentos se encuentro publicado en ambiente de producción en el siguiente url httpappsaludcapitalgovcosirc2;;
0000201014;Alexandra Maria López Sevillano;MÓDULO DE ACTIVACIÓN DE RUTAS;;2017;Colombia;Esta desarrollado en tecnología Web, utiliza el lenguaje de Visual Studio NET, Bases de datos SQL Server que cumplen con el proceso de modulación, escalabilidad e integración;Tiene un entorno de desarrollo integrado;;
0000201014;Alexandra Maria López Sevillano;SERVICIO WINDOWS PARA INTEGRACIÓN DEL SIRC CON API REST PARA ENVO DE MENSAJES SMS;;2017;Colombia;Contar con un servidor que tenga instalado el sistema operativo Windows Server 2012 o superior y acceso a internet El servidor debe poder establecer conexión con el servidor de base donde esté desplegada la base de datos SIRC en ambiente de producción;En estos momentos se encuentro publicado en ambiente de producción en el siguiente url httpappsaludcapitalgovcosirc2;;
0000201014;Alexandra Maria López Sevillano;RAM REACCIONES ADVERSAS AL MEDICAMENTO;;2014;Colombia;Este sistema se desarrolló utilizando la herramienta de Visual StudioNET 2013 con motor de base de dato SQL Server 2012;En estos momentos se encuentro publicado en ambiente de producción en el siguiente url httpappsaludcapitalgovcosirc2;;
0000201014;Alexandra Maria López Sevillano;TRASPLANTE DE ÓRGANOS YO TEJIDOS;;2015;Colombia;Este sistema se desarrolló utilizando la herramienta de Visual StudioNET 2013 con motor de base de dato SQL Server 2012;En estos momentos se encuentro publicado en ambiente de producción en el siguiente url httpappsaludcapitalgovcosirc2;;
0000201014;Alexandra Maria López Sevillano;CENSO CAMAS;;2008;Colombia;Este sistema se desarrolló utilizando la herramienta de Visual StudioNET 2013 con motor de base de dato SQL Server 2012;En estos momentos se encuentro publicado en ambiente de producción en el siguiente url httpappsaludcapitalgovcosirc2;;
0000201014;Alexandra Maria López Sevillano;MÓDULO DE NOTIFICACIÓN INMEDIATA ESIIRAG;;2014;Colombia;Este sistema se desarrolló utilizando la herramienta de Visual StudioNET 2013 con motor de base de dato SQL Server 2012;En estos momentos se encuentro publicado en ambiente de producción en el siguiente url httpappsaludcapitalgovcosirc2;;
0000833975;EDWIN EDUARDO MILLAN ROJAS;GESTION PARA CONVOCATORIA DOCENTE DE LA UNIVERSIDAD DE LA AMAZONIA;SOFTWARE SISTEMA DE GESTION PARA CONVOCATORIA DOCENTE DE LA UNIVERSIDAD DE LA AMAZONIA;2022;Colombia;Integrado al sistema de información misional Chairá;Entorno Web  Cliente servidor;6006561;
0000833975;EDWIN EDUARDO MILLAN ROJAS;Sistema de Información para la Vacunación en Colombia;SIVCOL;2013;Colombia;NET;Local;SN;
0000833975;EDWIN EDUARDO MILLAN ROJAS;SOFTWARE PARA EL APOYO EN LA MANIPULACIÓN DE LA INFORMACIÓN DE LA OFICINA ASESORA DE RELACIONES INTERINSTITUCIONALES OARI DE LA UNIVERSIDAD DE LA AMAZONIA;Software OARI;2013;Colombia;net;C;SN;
0000833975;EDWIN EDUARDO MILLAN ROJAS;Software para el analisis de la información nutricional de productos alimenticios NUTRIS;NUTRIS;2015;Colombia;NET;Ordenador;;
0000833975;EDWIN EDUARDO MILLAN ROJAS;Sistema gestor de contenidos virtuales;sistema gestor de contenidos virtuales;2013;Colombia;Moodle;Windows;;
0001482494;Olga Lucía Ramos Sandoval;INTERFAZ PARA EL CONTROL DE BRAZOS ROBOTICOS INDUSTRIALES PERTENECIENTES A LA UMNG;;2018;Colombia;la plataforma de desarrollo es visual estudionet;El ambiente C;IMPING 1573;
0001482494;Olga Lucía Ramos Sandoval;OPTIMIZACION DE TIEMPO DE CARGA PARA VEHICULOS ELECTRONICOS UTILIZANDO PANELES FOTOVOLTAICOS;OPTIMIZACION DE TIEMPO DE CARGA PARA VEHICULOS ELECTRONICOS UTILIZANDO PANELES FOTOVOLTAICOS;2018;Colombia;La plataforma de desarrollo es Windows;El ambiente es Android;INVING 1535;
0000607428;Oswaldo Alberto Romero Villalobos;Sistema Loky;;2007;Colombia;Abierta;;;
0000607428;Oswaldo Alberto Romero Villalobos;Software de Simulación para un Sistema adaptativo de inferencia neurodifusa aplicado a luces para el control de tránsito;;1999;Colombia;C;Windows;;
0000607428;Oswaldo Alberto Romero Villalobos;Codificación de JSON usando caos;Encrip Atrac caoticos;2017;Colombia;Web;Web;;
0000426377;Adriana Marcela  Vega| Escobar;Análisis de Tiempo por frecuencia de vibración aplicando TF;;2012;Colombia;;;;
0000426377;Adriana Marcela  Vega| Escobar;Programa educativo manejo de sentencias básicas;;2012;Colombia;;;;
0001174088;Nelson Enrique Vera Parra;PARALLELPCATRANSFORM;PARALLELPCATRANSFORM;2020;Colombia;;;1378303;
0001174088;Nelson Enrique Vera Parra;DECNN;DECNN;2019;Colombia;;;219558319;
0001174088;Nelson Enrique Vera Parra;PARALLELMULTIPLICATIVEFUSION;PARALLELMULTIPLICATIVEFUSION;2020;;;;219558319;
0001174088;Nelson Enrique Vera Parra;PARALLELFISCHERSCORINGBINOMIAL;PARALLELFISCHERSCORINGBINOMIAL;2020;Colombia;;;219558319;
0001174088;Nelson Enrique Vera Parra;SALLFUS;SALLFUS;2020;Colombia;;;219558319;
0001174088;Nelson Enrique Vera Parra;IMAGESEGMENTATION ASSESSMENT COMPARISON;IMAGESEGMENTATION ASSESSMENT COMPARISON;2019;;;;219558319;
0001174088;Nelson Enrique Vera Parra;PARALLELFUSIMAGERY;PARALLELFUSIMAGERY;2019;Colombia;;;219558319;
0001174088;Nelson Enrique Vera Parra;BioUD API;;2008;Colombia;Multiplataforma;Web;;
0001174088;Nelson Enrique Vera Parra;RESTGEN  API FRONTENDBACKEND APPLICATION GENERATOR;RESTGEN  API FRONTENDBACKEND APPLICATION GENERATOR;2018;Colombia;;;;
0001174088;Nelson Enrique Vera Parra;ESPAMOV ESCHER PATHWAYS MOBILE VIEWER;ESPAMOV ESCHER PATHWAYS MOBILE VIEWER;2017;Colombia;;;;
0001174088;Nelson Enrique Vera Parra;KCTK  KMERCOUNTERSTOOLKIT;;2016;Colombia;;;;
0001174088;Nelson Enrique Vera Parra;LWBC  LENTIC WATER BODIES COMPARISON;;2016;Colombia;;;;
0001174088;Nelson Enrique Vera Parra;MPV MOBILE PROTEIN VIEWER;;2017;Colombia;;;;
0001174088;Nelson Enrique Vera Parra;NGSPRE;;2014;Colombia;;;;
0001174088;Nelson Enrique Vera Parra;DIFEXP;;2014;Colombia;;;;
0001174088;Nelson Enrique Vera Parra;FUSATIMA;;2016;Colombia;;;;
0001174088;Nelson Enrique Vera Parra;ABEST;;2014;Colombia;;;;
0001174088;Nelson Enrique Vera Parra;P3D;P3D;2015;Colombia;Android;Android;;
0001174088;Nelson Enrique Vera Parra;A2;A2;2012;Colombia;Linux;Web;Libro 13;
0001174088;Nelson Enrique Vera Parra;BSG;BSG  Blast Statistics Generator;2012;Colombia;Linux;Web;Libro 13;
0001174088;Nelson Enrique Vera Parra;Calculadora IPv6;Calculadora IPv6;2012;Colombia;Windows;Escritorio;;
0001174088;Nelson Enrique Vera Parra;Software demostrativo de un sistema PCM completo;;2012;Colombia;;;;
0001174088;Nelson Enrique Vera Parra;DOMARCH VIEWER;DOMARCH;2014;Colombia;;;LIBRO 13 TOMO 41 PARTIDA 18;
0001174088;Nelson Enrique Vera Parra;MAFA  MASSIVE AUTOMATIC FUNCTIONAL ANNOTATOR;MAFA;2014;Colombia;;;LIBRO 13 TOMO 40 PARTIDA 396;
0001174088;Nelson Enrique Vera Parra;DAT  DATA ANALYTICS TWITTER;DAT  DATA ANALYTICS TWITTER;2019;Colombia;;;219558319;
0001174088;Nelson Enrique Vera Parra;SIMULADOR DEL COMPORTAMIENTO DE UNA CADENA DE BLOQUES;SIMULADOR DEL COMPORTAMIENTO DE UNA CADENA DE BLOQUES;2019;Colombia;;;;
0001174088;Nelson Enrique Vera Parra;SISTEMA RECOMENDADOR DE RECORRIDOS EN MUSEOS DE ARTE VIRTUALIZADOS;SISTEMA RECOMENDADOR DE RECORRIDOS EN MUSEOS DE ARTE VIRTUALIZADOS;2018;Colombia;;;;
0001174088;Nelson Enrique Vera Parra;PARALLELBROVEYTRANSFORM;PARALLELBROVEYTRANSFORM;2019;Colombia;;;219558319;
