COD_RH;                 AUTOR;                TITULO;                AÑO;                LUGAR;                REVISTA;                EDITORIAL;                ISSN
206601;Marco Antonio Aguilera Prado;Compartel (telecentros): una evaluación de su apropiación social;2018;España;CUADERNOS DE ECONOMIA SPAIN;Asociacion Cuadernos de Economia;0210-0266               
1344053;Edgar Alirio Aguirre  Buenaventura;IoT Detection System for Mildew Disease in Roses Using Neural Networks and Image Analysis;2023;;INTERNATIONAL JOURNAL OF INTERACTIVE MULTIMEDIA AND ARTIFICIAL INTELLIGENCE;Universidad Internacional de la Rioja;1989-1660               
1344053;Edgar Alirio Aguirre  Buenaventura;Modelo para la implementación de una plataforma de IoT para el conocimiento del riesgo;2022;Colombia;INGENIERIA Y COMPETITIVIDAD;;0123-3033               
1344053;Edgar Alirio Aguirre  Buenaventura;Uso de la robótica para el aprendizaje de las matemáticas en la educación primaria en la IES El Salitre, Hato, Cundinamarca;2019;Colombia;Revista De Tecnología;Kimpres;1692-1399               
1344053;Edgar Alirio Aguirre  Buenaventura;Evaluación del establecimiento de la métrica de enrutamiento WCETT en una red de radio cognitiva;2013;Colombia;Tecnura;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;2248-7638               
1344053;Edgar Alirio Aguirre  Buenaventura;Comparación del modelo Wavelet entre una red ethernet y una red MANET;2011;Colombia;Tecnura;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;0123-921X               
1344053;Edgar Alirio Aguirre  Buenaventura;Comparison of Air Quality in Real Time for Urban and Rural Regions through IoT Systems;2020;India;INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH AND TECHNOLOGY;International Research Publication House;0974-3154               
1344053;Edgar Alirio Aguirre  Buenaventura;Red de sensores inalámbricos para el monitoreo de variables agroecológicas en cultivos bajo invernadero;2019;Colombia;Publicaciones E Investigación;Universidad Nacional Abierta y a Distancia;1900-6608               
1344053;Edgar Alirio Aguirre  Buenaventura;Desarrollo de un sistema de monitoreo para acuaponía en hogares basado en IOT;2018;Colombia;INVENTUM;Corporación Universitaria Minuto de Dios;2590-8219               
1344053;Edgar Alirio Aguirre  Buenaventura;System of monitoring and control of a hydroponic model of the type Nutrient Film Technic NFT, for the production of vegetables in controlled environme;2019;Colombia;REVISTA COLOMBIANA DE INVESTIGACIONES AGROINDUSTRIALES;;2422-4456               
1645527;DIEGO FERNANDO AGUIRRE MORENO;Routing in Elastic Optical Networks Based on Deep Reinforcement Learning;2022;;INTERNATIONAL REVIEW ON MODELLING AND SIMULATIONS;Praise Worthy Prize Srl;1974-9821               
1645527;DIEGO FERNANDO AGUIRRE MORENO;Heuristic Algorithm for Flexible Optical Networks OTN;2018;Colombia;LECTURE NOTES IN COMPUTER SCIENCE;springer verlag;0302-9743               
1645527;DIEGO FERNANDO AGUIRRE MORENO;SIMULACIÓN DE REDES ÓPTICAS FLEXIBLES DE TERCERA GENERACIÓN CON NET2PLAN;2016;Colombia;Redes De Ingenieria;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;2248-762X               
1644874;Luis Felipe Albarracin Sanchez;An Approach for Channel Equalization Using Quasi Type-2 Fuzzy Systems;2010;Canadá;IEEE ATM WORKSHOP PROCEEDINGS;IEEE Communications Society;1098-7789               
1644874;Luis Felipe Albarracin Sanchez;On The Quality Measurements of RF Signals Using GNU Radio for Software Defined Radio Implementations in Future RF Networks;2020;;INTERNATIONAL JOURNAL ON COMMUNICATIONS ANTENNA AND PROPAGATION;Praise Worthy Prize Srl;2533-2929               
1644874;Luis Felipe Albarracin Sanchez;Software Assisted Energy Efficient and Flexible WDM-PON Access Networks;2018;Colombia;COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE;Springer Science and Business Media Deutschland GmbH;1865-0929               
1644874;Luis Felipe Albarracin Sanchez;Fuzzy Systems: An Approach to 5G Networks under the Software Defined Network Paradigm;2018;Colombia;REVISTA CIENTIFICA;;0124-2253               
202355;Lindsay ALVAREZ POMAR;Los Sistemas Peatonales Como Sistemas De Transporte;2015;Colombia;REVISTA CIENTIFICA;;0124-2253               
202355;Lindsay ALVAREZ POMAR;Pedestrian systems design;2014;Colombia;Tecnura;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;2248-7638               
202355;Lindsay ALVAREZ POMAR;Metodología para la Construcción de la Base de Conocimiento de un Sistema Experto;2004;Colombia;INGENIERIA;;0121-750X               
202355;Lindsay ALVAREZ POMAR;Diseño de Prototipo Diagnóstico para la PyME;2006;Colombia;INGENIERIA;;0121-750X               
202355;Lindsay ALVAREZ POMAR;A Hybrid Genetic Algorithm and Particle Swarm Optimization for Flow Shop Scheduling Problems;2017;Alemania;COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE;Springer Science and Business Media Deutschland GmbH;1865-0929               
202355;Lindsay ALVAREZ POMAR;Uncertainty Model For Quantitative Precipitation Estimation Using Weather Radars;2016;Estados Unidos;INTERNATIONAL JOURNAL OF INTERACTIVE MULTIMEDIA AND ARTIFICIAL INTELLIGENCE;Universidad Internacional de la Rioja;1989-1660               
202355;Lindsay ALVAREZ POMAR;Sectorial analysis of liquefied petroleum gas;2019;Colombia;Visión Electrónica Algo Más Que Un Estado Sólido;Fondo De Publicaciones De La Universidad Distrital;1909-9746               
202355;Lindsay ALVAREZ POMAR;Simulación y los A. G. para un problema de scheduling en sistemas de flujo flexible.;2009;Colombia;INGENIERIA;;0121-750X               
202355;Lindsay ALVAREZ POMAR;Impact of Personal Protection Habits on the Spread of Pandemics: Insights from an Agent-Based Model;2021;Reino Unido;SCIENTIFIC WORLD JOURNAL THE;Hindawi Limited;2356-6140               
202355;Lindsay ALVAREZ POMAR;An agent-based tool for impact assessment of non-pharmaceutical interventions against COVID-19;2020;Colombia;TecnoLógicas;Instituto Tecnológico Metropolitano;2256-5337               
202355;Lindsay ALVAREZ POMAR;Diseño metodologico para la ubicación de ambulancias del sector de atención prehospitalaria en Bogotá D.C;2007;Chile;Revista Ingeniería Industrial;Universidad del BioBio;0717-9103               
202355;Lindsay ALVAREZ POMAR;Gestión de la Producción en Pequeñas y Medianas empresas del sector de Pinturas, Barnices y Lacas;2007;Colombia;Tecnura;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;0123-921X               
202355;Lindsay ALVAREZ POMAR;Identificación y programación de asignaturas a ofrecer en un programa de especialización;2006;Colombia;INGENIERIA;;0121-750X               
202355;Lindsay ALVAREZ POMAR;Prototype Design of a Metamodel for Pedestrian System Planning Based on System Dynamics;2018;Alemania;COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE;Springer Science and Business Media Deutschland GmbH;1865-0929               
202355;Lindsay ALVAREZ POMAR;System Dynamics Modelling of Photovoltaic Power Generation Investment Decisions;2018;Alemania;COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE;Springer Science and Business Media Deutschland GmbH;1865-0929               
202355;Lindsay ALVAREZ POMAR;Hybrid Simulation and GA for a Flexible Flow Shop Problem with Variable Processors and Re-entrant Flow;2018;Alemania;COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE;Springer Science and Business Media Deutschland GmbH;1865-0929               
202355;Lindsay ALVAREZ POMAR;Modelo Dinámico para analizar políticas relacionadas con el tráfico peatonal en Bogotá;2014;Colombia;DYNA;Universidad Nacional de Colombia;0012-7353               
535567;John Petearson Anzola Anzola;Design Methodology for Self-organized Mobile Networks Based;2016;Colombia;INTERNATIONAL JOURNAL OF INTERACTIVE MULTIMEDIA AND ARTIFICIAL INTELLIGENCE;Universidad Internacional de la Rioja;1989-1660               
535567;John Petearson Anzola Anzola;Impacto del Jitter en un control de formación multiagente;2023;España;REVISTA IBEROAMERICANA DE AUTOMATICA E INFORMATICA INDUSTRIAL;universitat politecnica de valencia;1697-7920               
535567;John Petearson Anzola Anzola;Detección e identificación de islas de calor urbano: Un acercamiento desde el estado del arte;2014;Colombia;Vínculos;Fondo De Publicaciones De La Universidad Distrital;1794-211X               
535567;John Petearson Anzola Anzola;Clasification methodology of Research topics based in decision trees: J48 and RandomTree;2015;India;INTERNATIONAL JOURNAL OF APPLIED ENGINEERING RESEARCH;Research India Publications;0973-4562               
535567;John Petearson Anzola Anzola;Bearing Fault Diagnosis With Envelope Analysis and Machine Learning Approaches Using CWRU Dataset;2023;Estados Unidos;IEEE ACCESS;Ieee Inst Electrical Electronics Engineers Inc;2169-3536               
535567;John Petearson Anzola Anzola;Evaluation of QoS and QoE for H.264/SVC Video Transmission with DCF and EDCA;2014;India;INTERNATIONAL JOURNAL OF APPLIED ENGINEERING RESEARCH;Research India Publications;0973-4562               
535567;John Petearson Anzola Anzola;Sequential Triadic Methodology for the Conception and Self-Assessment of a Study Plan;2024;;KURDISH STUDIES;Transnational Press London Ltd;2051-4883               
535567;John Petearson Anzola Anzola;Homicide Prediction Model in Bogotá Using the Decision Tree Regression Algorithm;2023;Turquía;INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS AND APPLICATIONS IN ENGINEERING;Ismail Saritas;2147-6799               
535567;John Petearson Anzola Anzola;ANÁLISIS DE COCIENTE TRIÁDICO PARA PROCESOS DE ADMISIÓN DE ESTUDIANTES EN LA FUNDACIÓN INSUTEC MEDIANTE MINERÍA DE DATOS;2010;Colombia;Vínculos;Fondo De Publicaciones De La Universidad Distrital;1794-211X               
535567;John Petearson Anzola Anzola;Proliferation of Opportunistic Routing: A Systematic Review;2021;Estados Unidos;IEEE ACCESS;Ieee Inst Electrical Electronics Engineers Inc;2169-3536               
535567;John Petearson Anzola Anzola;Midgar: Creation of a Graphic Domain-Specific Language to Generate Smart Objects for Internet of Things Scenarios Using Model-Driven Engineering;2020;;IEEE ACCESS;Ieee Inst Electrical Electronics Engineers Inc;2169-3536               
535567;John Petearson Anzola Anzola;Methodology Design of Computational Experiments Founded on Design-based Science Case Study: Motion Models;2016;Alemania;INTERNATIONAL JOURNAL OF ONLINE ENGINEERING;Kassel University Press GmbH;1861-2121               
535567;John Petearson Anzola Anzola;A discontinuous parameter-perturbation method to control chaotic systems;2016;Estados Unidos;PROCEEDINGS OF THE AMERICAN CONTROL CONFERENCE;Institute Of Electrical And Electronics Engineers Inc;0743-1619               
535567;John Petearson Anzola Anzola;Decentralized model for autonomous robotic system based on wireless sensor networks;2016;Pakistán;ARPN JOURNAL OF ENGINEERING AND APPLIED SCIENCES;Asian Research Publishing Network ARPN;1819-6608               
535567;John Petearson Anzola Anzola;PyDSLRep: A domain-specific language for robotic simulation in V-Rep;2020;Estados Unidos;PLOS ONE;Public Library of Science;1932-6203               
535567;John Petearson Anzola Anzola;Manipulation of Polymorphic Objects using Two Robotic Arms through CNN Networks;2019;;INTERNATIONAL JOURNAL ON ADVANCED SCIENCE ENGINEERING AND INFORMATION TECHNOLOGY;INSIGHT  Indonesian Society for Knowledge and Human Development;2088-5334               
535567;John Petearson Anzola Anzola;Pedestrian counting estimation based on fractal dimension;2019;Inglaterra;HELIYON;Cell Press;2405-8440               
535567;John Petearson Anzola Anzola;A Clustering WSN Routing Protocol Based on k-d Tree Algorithm;2018;Suiza;SENSORS;Multidisciplinary Digital Publishing Institute MDPI;1424-8220               
535567;John Petearson Anzola Anzola;Design And Construction of an Electrocardiogram with Visualization of Data in an App;2017;India;INTERNATIONAL JOURNAL OF APPLIED ENGINEERING RESEARCH;Research India Publications;0973-4562               
227170;Luis Alejandro Arias Barragan;Centro Integral de Reciclaje con inclusión de fuentes alternativas de energia;2014;Colombia;Revista Escuela De Administración De Negocios;Escuela De Administracion De Negocios Ean;0120-8160               
227170;Luis Alejandro Arias Barragan;Residential Refrigeration MEPS in Colombia: A Review and a Comparative;2022;Suiza;ENERGIES;Multidisciplinary Digital Publishing Institute MDPI;1996-1073               
227170;Luis Alejandro Arias Barragan;Virtual Power Plants as a Management Strategy to Improve Resilience in Electrical Distribution Networks;2023;;SPRINGERBRIEFS IN COMPUTER SCIENCE;Springer International Publishing;2191-5776               
227170;Luis Alejandro Arias Barragan;Modelo de gestión de redes de distribución mediante UML y BPL;2013;Colombia;Tecnura;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;0123-921X               
227170;Luis Alejandro Arias Barragan;Propuesta de modelo de Gestión para redes eléctricas con Generación Distribuida a través de Unidades de Medición Fasorial;2017;Chile;INFORMACION TECNOLOGICA;Centro de información tecnológica;0718-0764               
227170;Luis Alejandro Arias Barragan;PRM navigation in trading drone and Gazebo simulation Navegación PRM en dron comercial y simulación Gazebo;2020;Colombia;Visión Electrónica Algo Más Que Un Estado Sólido;Fondo De Publicaciones De La Universidad Distrital;1909-9746               
227170;Luis Alejandro Arias Barragan;Incentive-based demand response: Case study;2020;Colombia;Scientia Et Technica;Editorial Universidad Tecnológica de Pereira;0122-1701               
227170;Luis Alejandro Arias Barragan;A Review and Analysis of Trends Related to Demand Response;2018;;ENERGIES;Multidisciplinary Digital Publishing Institute MDPI;1996-1073               
1390573;César Alberto Castellanos García;Antecedentes de un Sistema de Determinación y Control de Actitud ADCS para el Cube-Sat Colombia I;2010;Colombia;Memorias Primer Congreso Internacional De Ciencia Y Tecnologia Aeroespacial;Oficina De Publicaciones Universidad Distrital;2011-7760               
1390573;César Alberto Castellanos García;Descripción de un Bloque de Actuadores basado en Micromotores para un Sistema de Control de Actitud ACS para el Cube-Sat Colombia I;2010;Colombia;Memorias Primer Congreso Internacional De Ciencia Y Tecnologia Aeroespacial;Oficina De Publicaciones Universidad Distrital;2011-7760               
1390573;César Alberto Castellanos García;Desarrollo del Sistema de Determinación de Actitud basado en el Filtro Extendido de Kalman para el Cube-Sat Colombia I;2010;Colombia;Memorias Primer Congreso Internacional De Ciencia Y Tecnologia Aeroespacial;Oficina De Publicaciones Universidad Distrital;2011-7760               
1390573;César Alberto Castellanos García;Generación del Vector Solar como entrada a un Sistema de Determinación de Actitud para el Cube-Sat Colombia I;2010;Colombia;Memorias Primer Congreso Internacional De Ciencia Y Tecnologia Aeroespacial;Oficina De Publicaciones Universidad Distrital;2011-7760               
1390573;César Alberto Castellanos García;Generación del Vector de Campo Magnético Terrestre como entrada a un Sistema de Determinación de Actitud para el Cube-Sat Colombia I;2010;Colombia;Memorias Primer Congreso Internacional De Ciencia Y Tecnologia Aeroespacial;Oficina De Publicaciones Universidad Distrital;2011-7760               
1390573;César Alberto Castellanos García;Design and simulation of an attitude determination system based on the Extended Kalman Filter for Cube-Sat Colombia I;2014;Colombia;REVISTA FACULTAD DE INGENIERIA UNIVERSIDAD DE ANTIOQUIA;Universidad De Antioquia;0120-6230               
675024;LEONARDO EMIRO CONTRERAS BRAVO;A BOND-GRAPH APPROACH TO HUMAN GAIT SIMULATION;2005;Inglaterra;GAIT Y POSTURE;Elsevier;0966-6362               
675024;LEONARDO EMIRO CONTRERAS BRAVO;MODELAMIENTO DE LA MARCHA HUMAN POR MEDIO DE GRAFICOS DE UNION;2005;Colombia;Tecnura;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;0123-921X               
675024;LEONARDO EMIRO CONTRERAS BRAVO;AUTOMATIZACIÓN EN NIVEL DE CONTROL DE PLANTA MEDIANTE EL USO DE HERRAMIENTAS LIBRES Y COMPUTACIÓN EN LA NUBE;2015;Colombia;Redes De Ingenieria;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;2248-762X               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Propuesta y aplicación de nuevas herramientas para el desarrollo de habilidades espaciales en la asignatura Dibujo de Ingeniería;2015;Colombia;REVISTA VIRTUAL UNIVERSIDAD CATOLICA DEL NORTE;;0124-5821               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Estudio de la aplicación de herramientas computacionales en el desarrollo de competencias en el cálculo de estructuras;2012;Colombia;Educacion Y Desarrollo Social;Universidad Militar Nueva Granada;2011-5318               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Diseño de guías de laboratorio para desarrollar habilidades profesionales en la asignatura automatización del programa de ingeniería industrial;2015;Colombia;ACADEMIA Y VIRTUALIDAD;;2011-0731               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Integrando Tic a las estrategias de enseñanza y aprendizaje de la ingeniería con modelo b-learning;2012;Colombia;Dialéctica;Editorial Servioffset Ltda;0123-2592               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Evaluación de factores de entorno que afectan el desarrollo de habilidades espaciales en estudiantes de primer semestre en ingeniería industrial;2013;Colombia;ACADEMIA Y VIRTUALIDAD;;2011-0731               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Analisis biomecánico de marcha humana a través de técnicas de modelaje;2012;Colombia;ENTRE CIENCIA E INGENIERIA;;1909-8367               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Análisis y aplicación de técnicas de aprendizaje activo en mecánica aplicada;2014;Colombia;Educacion Y Desarrollo Social;Universidad Militar Nueva Granada;2011-5318               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Evaluación de técnicas tradicionales y TIC para el desarrollo de habilidades espaciales en estudiantes de primer semestre de ingeniería industrial;2014;Colombia;REVISTA VIRTUAL UNIVERSIDAD CATOLICA DEL NORTE;;0124-5821               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Desarrollo de herramientas computacionales para la prevención de bajo rendimiento académico y deserción en la educación superior;2014;Colombia;Revista Q;Universidad Pontificia Bolivariana;1909-2814               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Diseño de un dispositivo para la movilidad de personas con discapacidad motriz usando el método función de calidad;2014;Colombia;INGENIERIA;;0121-750X               
675024;LEONARDO EMIRO CONTRERAS BRAVO;La evaluación a través de herramientas web 2.0 como estrategia de aprendizaje;2014;Colombia;REVISTA VIRTUAL UNIVERSIDAD CATOLICA DEL NORTE;;0124-5821               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Caracterizacion y ejemplificación del docente prosumidor desde la web 2.0 en educación superior;2013;Colombia;REVISTA VIRTUAL UNIVERSIDAD CATOLICA DEL NORTE;;0124-5821               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Estrategias educativas para uso de las TIC en educación superior;2013;Venezuela;Tecnura;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;2248-7638               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Prediction of University-Level Academic Performance through Machine Learning Mechanisms and Supervised Methods;2023;Colombia;INGENIERIA;;0121-750X               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Desarrollo e implementación de un visor geográfico Web para la toma de decisiones en el mercado de los combustibles líquidos en Colombia;2022;Venezuela;REVISTA GEOGRAFICA VENEZOLANA;Universidad De Los Andes;2244-8853               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Efectos de la inversión extranjera en la actividad minera colombiana y 4 paises de la región;2012;Colombia;APUNTES DEL CENES;Universidad Pedagógica y Tecnológica de Colombia;0120-3053               
675024;LEONARDO EMIRO CONTRERAS BRAVO;A review on the prediction of students¿ academic performance using ensemble methods;2022;Colombia;INGENIERIA SOLIDARIA;;1900-3102               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Análisis del rendimiento académico mediante técnicas de aprendizaje automático con Métodos de ensamble;2021;Colombia;Publicación Artículo En El Boletín Redipe 803;;2256-1536               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Diseño de un sistema de información geográfica web en el sector de los combustibles usando ArcGIS Online;2021;Colombia;Publicación Artículo En El Boletín Redipe 803;;2256-1536               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Colombian agriculture : approaching agriculture 4.0;2022;Colombia;INGENIERIA SOLIDARIA;;1900-3102               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Discriminación de género en el mercado laboral colombiano;2021;;Saber, Ciencia Y Libertad;;2382-3240               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Tecnología y analítica del aprendizaje: una revisión a la literatura;2021;Colombia;REVISTA CIENTIFICA;;2344-8350               
675024;LEONARDO EMIRO CONTRERAS BRAVO;B-Learning and Big Data: Use in Training an Engineering Course;2017;Japón;LECTURE NOTES IN COMPUTER SCIENCE;springer verlag;0302-9743               
675024;LEONARDO EMIRO CONTRERAS BRAVO;39PROPUESTA DE DISEÑO DE MOBILIARIO PARA LABORATORIOS INFORMÁTICOS DE LA FACULTAD DE INGENIERÍA DE LA UNIVERSIDAD DISTRITAL FRANCISCO JOSÉ DE CALDAS;2014;Colombia;Redes De Ingenieria;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;2248-762X               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Data Architecture for the Internet of Things and Industry 4.0;2017;Japón;LECTURE NOTES IN COMPUTER SCIENCE;springer verlag;0302-9743               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Methodological Proposal for the Calculation of the Thermal Load in Command and Monitoring Centers and Control Rooms;2020;India;INTERNATIONAL JOURNAL OF MECHANICAL AND PRODUCTION ENGINEERING RESEARCH AND DEVELOPMENT;Transstellar Journal Publications and Research Consultancy Private Limited TJPRC;2249-8001               
675024;LEONARDO EMIRO CONTRERAS BRAVO;An Analysis of the Effects of Education on Wage Levels in Colombia;2020;India;INTERNATIONAL JOURNAL OF MECHANICAL AND PRODUCTION ENGINEERING RESEARCH AND DEVELOPMENT;Transstellar Journal Publications and Research Consultancy Private Limited TJPRC;2249-8001               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Proposal of Technological Architecture for Compliance with Data Protection Policies in Public Institutions. Case Colombia;2020;India;INTERNATIONAL JOURNAL OF MECHANICAL AND PRODUCTION ENGINEERING RESEARCH AND DEVELOPMENT;Transstellar Journal Publications and Research Consultancy Private Limited TJPRC;2249-8001               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Integration and Compatibility of the Traffic Computers and Local Traffic Control Equipment. Case Bogotá (Colombia);2020;India;INTERNATIONAL JOURNAL OF MECHANICAL AND PRODUCTION ENGINEERING RESEARCH AND DEVELOPMENT;Transstellar Journal Publications and Research Consultancy Private Limited TJPRC;2249-8001               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Analysis of the Relation Between Wages and Education in Colombian Households;2020;India;INTERNATIONAL JOURNAL OF MECHANICAL AND PRODUCTION ENGINEERING RESEARCH AND DEVELOPMENT;Transstellar Journal Publications and Research Consultancy Private Limited TJPRC;2249-8001               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Probabilistic Model for Salaries in Colombia;2020;India;INTERNATIONAL JOURNAL OF MECHANICAL AND PRODUCTION ENGINEERING RESEARCH AND DEVELOPMENT;Transstellar Journal Publications and Research Consultancy Private Limited TJPRC;2249-8001               
675024;LEONARDO EMIRO CONTRERAS BRAVO;Knowledge Management and its application in the District's Public Cemeteries;2020;India;INTERNATIONAL JOURNAL OF MECHANICAL AND PRODUCTION ENGINEERING RESEARCH AND DEVELOPMENT;Transstellar Journal Publications and Research Consultancy Private Limited TJPRC;2249-8001               
