COD_RH;                 AUTOR;                 TITULO;                 NUM_PAG;                 FECHA;                 LUGAR;                  EDITORIAL;                 ISBN
1344169;Robinson Jimenez Moreno;Arquitecturas de red neuroconvolucional para aplicaciones de robotica asistencial;;2020;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-78723-8-5
594822;José Andelfo Lizcano Caro;Facultad De Medio Ambiente Y Recursos Naturales 19942014;;2014;Colombia;Publicaciones Universidad Distrital Francisco Jose De Caldas;978-958-8897-09-7
594822;José Andelfo Lizcano Caro;Facultad del Medio Ambiente y Recursos Naturales 19942014 Veinte Años de Contribución Académica al Desarrollo Sostenible;;2014;Colombia;Publicaciones Universidad Distrital Francisco Jose De Caldas;978-958-8897-09-7
594822;José Andelfo Lizcano Caro;Investigación al Régimen Tarifario de Agua Potable y Saneamiento Básico;251;2011;Colombia;Universidad Distrital;978-958-8337-92-0
166618;César Amílcar López Bello;Técnicas De Simulación En Producción;145;;Colombia;Presencia;958-95345-9-7
166618;César Amílcar López Bello;Modelos Integrales De Producción En Empresas Manufactureras;196;2006;Colombia;Kimpres;9589784011
166618;César Amílcar López Bello;Planeación Agregada De La Producción;113;2008;Colombia;Universidad catolica de colombia;978-958-44-4592-6
1213490;Eduyn Ramiro Lopez Santana;Applied Computer Sciences in Engineering;;2016;Alemania;Springer Publishing Co;978-3-319-50880-1
1213490;Eduyn Ramiro Lopez Santana;Problema social de la corrupción perspectivas desde la dinámica de sistemas;;2016;Colombia;Fondo Editorial Universidad Distrital Francisco Jose De Caldas;9,78959E+12
1213490;Eduyn Ramiro Lopez Santana;Applied Computer Sciences in Engineering, Third Workshop on Engineering Applications, WEA 2016;;2016;Alemania;Springer Publishing Company, Inc;978-3-319-50879-5
1213490;Eduyn Ramiro Lopez Santana;Applied Computer Sciences in Engineering 4th Workshop on Engineering Applications, WEA 2017;;2017;Alemania;Springer Publishing Company, Inc;978-3-319-66962-5
1213490;Eduyn Ramiro Lopez Santana;El problema del desempleo y la informalidad en Colombia;;2017;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-5434-65-3
1213490;Eduyn Ramiro Lopez Santana;Applied Computer Sciences in Engineering, WEA 2018, Part I;;2018;Alemania;Springer Publishing Company, Inc;978-3-030-00349-4
201014;Alexandra Maria López Sevillano;Modelos de integración de servicios para el sistema de salud en Colombia;;2019;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;9,78959E+12
393371;Orlando Riaño Melo;Algebra Lineal En El Procesamiento Digital De Imagenes;330;2010;Colombia;Fondo De Publicaciones Universidad Distrital Francisco Jose De Caldas;978-958-8337-86-9
393371;Orlando Riaño Melo;lgebra lineal en el procesamiento digital de imágenes;;2010;Colombia;Fondo Editorial Universidad Distrital Francisco Jose De Caldas;978-958-8337-86-9
393371;Orlando Riaño Melo;Cálculo integral en una variable;;2014;Colombia;Fondo Editorial Universidad Distrital Francisco Jose De Caldas;97-89588-782-57-7
393371;Orlando Riaño Melo;Ejercicios Resueltos de Cálculo Integral;;2011;Colombia;Autores editores;978-958-44-9884-7
85628;DAVID GUSTAVO ROSERO BERNAL;GESTIN Y CIBERSEGURIDAD PARA MICROREDES ELCTRICAS RESIDENCIALES;;2020;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-226-6
1415432;PABLO EMILIO ROZO GARCIA;Detección, caracterización y modelado del ruido aperiódico en un sistema de comunicaciones por líneas eléctricas  PLC  visto desde las fuentes generadoras;;2021;Colombia;IngeEdit Editores;978-958-49-4951-6
426377;Adriana Marcela  Vega| Escobar;Conceptos Básicos De Higiene Y Salud Ocupacional;57;2012;Colombia;editorial académica española;978-3-659-05021-3
426377;Adriana Marcela  Vega| Escobar;Factores De Riesgo Eléctrico, Mecánico Y Físico  Químico;80;2013;Colombia;editorial académica española;978-3-659-06669-6
426377;Adriana Marcela  Vega| Escobar;GESTIN DE LA ENERGA EL USUARIO DE ENERGA COMO PARTE ACTIVA DEL SISTEMA;;2020;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-234-7
1174088;Nelson Enrique Vera Parra;Android BásicoManual Práctico 3 Autores;104;2012;Colombia;bubok;978-84-686-1295-9
1174088;Nelson Enrique Vera Parra;Introducción A Mvc 4;122;2013;Colombia;bubok;978-84-686-3359-6
1174088;Nelson Enrique Vera Parra;Biopython básico Manual práctico;;2014;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-8832-70-8
1174088;Nelson Enrique Vera Parra;Entorno de trabajo bioinformático para RNASEQ;;2016;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;9,78959E+12
1174088;Nelson Enrique Vera Parra;Biopython básico  Manual práctico;;2014;Colombia;Publicaciones Universidad Distrital Francisco Jose De Caldas;978-958-8832-70-8
1174088;Nelson Enrique Vera Parra;OPENCL PRCTICO COMPUTACIN HETEROGNEA PARALELA;;2019;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-78707-8-7
1174088;Nelson Enrique Vera Parra;REDES NEURONALES CONVOLUCIONALES USANDO KERAS Y ACELERANDO CON GPU;;2020;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-233-0
